website,name_of_meal,nutrition_values,preptime,attributes,allergens,ingredients,description
hellofresh,Smart Creamy Lemon-Garlic Chicken,"Calories 640kcal, Fat 31g, Saturated Fat 12g, Carbohydrate 46g, Sugar 9g, Dietary Fiber 9g, Protein 46g, Cholesterol 175mg, Sodium 860mg, Trans Fat 0.5g, Potassium 1800mg, Calcium 125mg, Iron 4mg",,"Calorie Smart, Carb Smart, New",,"Chicken Breasts 2 unit(s), Yellow Potato 250 g, Brussels Sprouts 170 g, Carrot 1 unit(s), Lemon 1 unit(s), Garlic cloves 2 unit(s), Parsley 7 g, Cream (Contains Milk) 56 mL, Cream Sauce Spice Blend (Contains WheatMay contain Tree nuts Milk Mustard Peanuts Sesame Soy Sulphites) 1 tbsp","Juicy chicken breasts lathered in a creamy sauce of bright lemon and zingy garlic makes this a dish you'll want to have again. Carb Smart (50 g carbohydrates or less) is based on a per serving calculation of the recipe's carbohydrate amount. Calorie Smart (650kcal or less) is based on a per serving calculation of the recipe's kilocalorie amount. Ingredients: Chicken breast • Yellow potato • Brussels sprouts • Carrots • Lemon • 35% Cream (cream, milk, dextrose, cellulose gel, carrageenan, mono and diglycerides, cellulose gum, polysorbate 80, sodium citrate, disodium phosphate) (milk) • Cream sauce spice blend (wheat flour, salt, garlic powder, onion powder, canola oil, silicon dioxide) (wheat) • Parsley • Garlic."
hellofresh,Cal Smart Cranberry-Mustard Pork Chops,"Calories 650kcal, Fat 16g, Saturated Fat 6g, Carbohydrate 77g, Sugar 17g, Dietary Fiber 6g, Protein 48g, Cholesterol 125mg, Sodium 1520mg, Trans Fat 0.3g, Potassium 1350mg, Calcium 125mg, Iron 4mg",,"Calorie Smart, New",,"Pork Chops boneless 340 g, Wild Rice Medley ½ cup, Sweet Potato 1 unit(s), Sweet Bell Pepper 1 unit(s), Sugar Snap Peas 113 g, Parsley 7 g, Garlic Salt (May contain Milk Sulphites Wheat Tree nuts Triticale Mustard Soy Sesame Peanuts) 1 tsp, Vegetable Stock Powder (Contains Soy SulphitesMay contain Milk Wheat Tree nuts Mustard Sesame Peanuts) 1 tbsp, Cranberry Spread (May contain Milk Sulphites Wheat Tree nuts Mustard Soy Sesame Egg Fish Crustaceans Gluten) 2 tbsp, Whole Grain Mustard (Contains MustardMay contain Milk Sulphites Wheat Soy Sesame Egg Fish Crustaceans Gluten) 1 tbsp","Draped in an easy cranberry pan sauce, this pork dinner is every bit as delicious as it is wholesome! Calorie Smart (650kcal or less) is based on a per-serving calculation of the recipe's kilocalorie amount. Ingredients: Pork chop • Sweet potato • Sweet bell pepper • Sugar snap peas • Wild rice medley (parboiled rice, wild rice) • Cranberry spread (sugars (sugar, concentrated cranberry juice), water, sweetened dried cranberries (cranberries, sugar, vegetable oil), pectin, citric acid, potassium sorbate) • Whole grain mustard (water, white vinegar, mustard seeds, white wine vinegar, salt, sugar, mustard bran, citric acid, turmeric, spices, spice extract, natural flavour, xanthan gum) (mustard) • Vegetable stock powder (salt, sugars (dextrose, corn syrup solids, sugar), dehydrated vegetables(sulfite) (carrot, potato, onion, leek, red and green bell peppers, cabbage, celery, tomato, garlic), hydrolyzed vegetable proteins (corn, soy), potato starch, palm oil, corn starch, yeast extract, canola oil, spice extracts, herb, turmeric extract, natural flavor) (soy, sulphites) • Parsley • Garlic salt (salt, garlic powder, silicon dioxide)."
hellofresh,Greek-Inspired Roasted Fish Dinner,"Calories 930kcal, Fat 52g, Saturated Fat 11g, Carbohydrate 75g, Sugar 5g, Dietary Fiber 6g, Protein 45g, Cholesterol 125mg, Sodium 1360mg, Trans Fat 0.5g, Potassium 1200mg, Calcium 225mg, Iron 6mg",,"Quick, Family Friendly",,"Tilapia (Contains Tilapia) 300 g, Basmati Rice ¾ cup, Baby Spinach 113 g, Baby Tomatoes 113 g, Dill 7 g, Lemon 1 unit(s), Feta Cheese crumbled (Contains Milk) ¼ cup, Vegetable Stock Powder (Contains Soy SulphitesMay contain Milk Mustard Tree nuts Peanuts Sesame Wheat) 1 tbsp, Mayonnaise (Contains Egg MustardMay contain Milk Mustard Sesame Wheat Crustaceans Fish Gluten Soy Sulphites) 4 tbsp, Zesty Garlic Blend (Contains SulphitesMay contain Milk Mustard Tree nuts Peanuts Sesame Wheat Soy) 1 tbsp, Almonds sliced (Contains AlmondsMay contain Milk Mustard Peanuts Sesame Gluten Soy Sulphites Egg) 28 g","This fish dinner is sure to please the whole family. Roasted tilapia gets the Greek treatment – we've paired it with a delicious feta-dill sauce. Ingredients: Tilapia fillets • Basmati rice • Spinach • Baby tomatoes • Mayonnaise (canola and/or soy oil, liquid whole egg, frozen egg yolk, water, salt, sugar, vinegar, concentrated lemon juice, spice extract, mustard, lactic acid, calcium disodium EDTA) (mustard, egg) • Lemon • Feta cheese (pasteurized milk, partly skimmed milk, water, salt, lipase, bacterial culture, microbial enzyme, cellulose, natamycin, calcium chloride) (milk) • Almonds • Vegetable stock powder (salt, sugars (dextrose, corn syrup solids, sugar), dehydrated vegetables(sulfite) (carrot, potato, onion, leek, red and green bell peppers, cabbage, celery, tomato, garlic), hydrolyzed vegetable proteins (corn, soy), potato starch, palm oil, corn starch, yeast extract, canola oil, spice extracts, herb, turmeric extract, natural flavor) (soy, sulphites) • Dill • Zesty garlic blend (granulated garlic, cornmeal, salt, dehydrated red bell pepper flakes, spices, sugar, herbs, canola oil, silicon dioxide, citric acid) (sulphites)."
hellofresh,Carb Smart Beef and Root Veg Mash Bowl,"Calories 590kcal, Fat 30g, Saturated Fat 15g, Carbohydrate 51g, Sugar 16g, Dietary Fiber 8g, Protein 30g, Cholesterol 105mg, Sodium 1330mg, Trans Fat 1g, Potassium 1450mg, Calcium 125mg, Iron 4.5mg",,"Carb Smart, Quick, New",,"Ground Beef 250 g, Mirepoix 113 g, Green Peas 56 g, Beef Broth Concentrate 2 unit(s), Cream Sauce Spice Blend (Contains WheatMay contain Tree nuts Milk Mustard Peanuts Sesame Soy Sulphites) 1 tbsp, Sweet Potato 1 unit(s), Butternut Squash cubes 340 g, Garlic cloves 2 unit(s), Soy Sauce (Contains Sulphites SoyMay contain Milk Mustard Sesame Fish Wheat Egg) ½ tbsp, Parsley 7 g","Our tender root veggie mash – served over top a super savoury beef and delicious gravy – is a beautiful thing. We've included all the flavours of a roasted dinner in a fraction of the time. Carb Smart (50 g carbohydrates or less) is based on a per serving calculation of the recipe's carbohydrate amount. Ingredients: Butternut squash • Ground beef • Sweet potato • Mirepoix (carrot, onion, celery) • Green peas • Beef broth concentrate (beef stock, sugars (maltodextrin, sugar), beef flavor (flavoring, water, salt, dried beef stock, beef stock, yeast extract, xanthan gum, glutamic acid, tricalcium phosphate), beef fat, salt, yeast extract, xanthan gum) • Cream sauce spice blend (wheat flour, salt, garlic powder, onion powder, canola oil, silicon dioxide) (wheat) • Soy sauce (water, wheat, soybeans, salt, hydrolyzed soya protein, sugars (sugar, glucose solids, molasses, corn syrup solids), seasoning agents, caramel colour, licorice extract, modified cornstarch, citric acid, sodium benzoate, sodium propionate, potassium sorbate, alcohol) (soy, sulphites, wheat) • Parsley • Garlic."
hellofresh,Beef and Roasted Bell Pepper Ragu,"Calories 760kcal, Fat 26g, Saturated Fat 10g, Carbohydrate 89g, Sugar 17g, Dietary Fiber 9g, Protein 43g, Cholesterol 85mg, Sodium 1240mg, Trans Fat 0.5g, Potassium 1600mg, Calcium 250mg, Iron 7.5mg",,"Quick, Bestseller",,"Ground Beef 250 g, Sweet Bell Pepper 1 unit(s), Italian Seasoning (May contain Soy Triticale Sesame Tree nuts Milk Mustard Sulphites Wheat Peanuts) 1 tbsp, Crushed Tomatoes with Garlic and Onion 1 unit(s), Spaghetti (Contains WheatMay contain Gluten) 170 g, Parmesan Cheese shredded (Contains Milk) ¼ cup, Chili Flakes (May contain Soy Triticale Sesame Tree nuts Milk Mustard Sulphites Wheat Peanuts) 1 tsp, Beef Broth Concentrate 1 unit(s), Tomato Sauce Base (May contain Soy Sesame Tree nuts Milk Mustard Sulphites Wheat Gluten Fish Egg Crustaceans) 2 tbsp, Garlic Salt (May contain Soy Triticale Sesame Tree nuts Milk Mustard Sulphites Wheat Peanuts) ½ tsp","This twist on classic spaghetti bolognese is packed with tender ground beef and tons of herby, garlicky flavour, all topped with a sprinkling of fresh Parmesan. It'll have everyone in your home going back for more! Ingredients: Crushed tomatoes (crushed tomatoes, tomato puree, tomato paste, water, diced tomatoes, onion, garlic, salt, sugar, citric acid) • Ground beef • Spaghetti (durum wheat semolina, niacin, ferrous sulphate, thiamine mononitrate, riboflavin, folic acid) (wheat) • Sweet bell pepper • Tomato sauce (water, tomato paste, modified corn starch, soybean oil, phosphoric acid, xanthan gum, potassium sorbate, sodium benzoate) • Parmesan cheese (pasteurized milk, modified milk ingredients, water, modified corn starch and/or potato starch, cheese (milk, bacterial culture, salt, microbial enzyme, lipase), salt, citric acid, sodium phosphate, lactic acid, flavour, sodium citrate, potassium sorbate, caramel colour, beta-carotene, anticaking blend (potato starch, corn starch, dextrose, calcium sulfate, cellulose, natamycin, enzyme)) (milk) • Beef broth concentrate (beef stock, sugars (maltodextrin, sugar), beef flavor (flavoring, water, salt, dried beef stock, beef stock, yeast extract, xanthan gum, glutamic acid, tricalcium phosphate), beef fat, salt, yeast extract, xanthan gum) • Italian seasoning (oregano, basil, marjoram, garlic powder, rosemary, parsley flakes, bay leaf, canola oil, silicon dioxide) • Chili flakes • Garlic salt (salt, garlic powder, silicon dioxide)."
hellofresh,Cheese Tortellini with Sun-Dried Tomato Pesto Sauce,"Calories 790kcal, Fat 33g, Saturated Fat 14g, Carbohydrate 97g, Sugar 10g, Dietary Fiber 6g, Protein 28g, Cholesterol 100mg, Sodium 1330mg, Trans Fat 1g, Potassium 950mg, Calcium 300mg, Iron 5mg",,"Quick, Bestseller, Low CO2, Veggie",,"Cheese Tortellini (Contains Egg Milk Wheat) 350 g, Sun-Dried Tomato Pesto (Contains MilkMay contain Tree nuts Soy Sulphites) ¼ cup, Shallot 1 unit(s), Baby Spinach 56 g, Parmesan Cheese shredded (Contains Milk) ¼ cup, Baby Tomatoes 113 g, Cream Cheese (Contains Milk) 1 unit(s), Garlic cloves 2 unit(s)","Featuring creamy sun-dried tomato pesto sauce, baby tomatoes and Parmesan, this dish combines fresh, summer flavours with the wintery comforts of hearty pasta for the best of all seasons. Ingredients: Cheese tortellini (pasta: durum wheat semolina, water, liquid egg yolk, liquid whole eggs, filling: cheeses (ricotta, parmesan, romano), toasted wheat crumbs, whey, vegetable oil, flavour (milk), water, salt, yeast extract, garlic powder) (egg, milk, wheat) • Baby tomatoes • Sundried tomato pesto (sundried tomato, water, soy oil, canola and extra virgin olive oil, tomatoes, garlic, parmesan cheese (milk, bacterial culture, salt, lipase, calcium chloride, microbial enzyme, powdered cellulose), basil leaves, salt, sugar, herbs, spices, vinegar, citric acid, xanthan gum, potassium sorbate) (milk) • Spinach • Shallot • Cream cheese (milk ingredients, modified milk ingredients, salt, bacterial culture, lactic acid, guar gum, carob bean gum, xanthan gum, potassium sorbate) (milk) • Parmesan cheese (pasteurized milk, modified milk ingredients, water, modified corn starch and/or potato starch, cheese (milk, bacterial culture, salt, microbial enzyme, lipase), salt, citric acid, sodium phosphate, lactic acid, flavour, sodium citrate, potassium sorbate, caramel colour, beta-carotene, anticaking blend (potato starch, corn starch, dextrose, calcium sulfate, cellulose, natamycin, enzyme)) (milk) • Garlic."
hellofresh,SuperQuick Chipotle Chicken Flatbreads,"Calories 690kcal, Fat 26g, Saturated Fat 8g, Carbohydrate 62g, Sugar 10g, Dietary Fiber 4g, Protein 49g, Cholesterol 140mg, Sodium 1210mg, Trans Fat 0.3g, Potassium 950mg, Calcium 250mg, Iron 5mg",,"SuperQuick, New",,"Chicken Breast Diced 310 g, Flatbread (Contains Soy Milk WheatMay contain Gluten Mustard) 2 unit(s), Chipotle Sauce (Contains Soy Milk Egg MustardMay contain Gluten Mustard Sulphites Tree nuts Fish Wheat Egg Sesame Soy Crustaceans Milk) 2 tbsp, Yellow Onion chopped 56 g, Enchilada Spice Blend (Contains SulphitesMay contain Mustard Tree nuts Wheat Sesame Soy Milk Peanuts) 1 tbsp, Sour Cream (Contains Milk) 1 unit(s), Cilantro 7 g, Cheddar Cheese shredded (Contains Milk) ¼ cup, Baby Spinach 28 g","These speedy flatbreads are simple and tasty. Spread chipotle sauce onto warm flatbreads before loading them up with enchilada-spiced chicken, spinach, cheddar cheese and a drizzle of sour cream. Ingredients: Chicken breast • Flatbread (enriched wheat flour, water, canola oil, yogurt (milk ingredients, modified corn starch, carrageenan, pectin, active bacterial culture), milk, yeast, buttermilk, sugar, vinegar, salt, wheat gluten, corn flour, guar gum, vegetable monoglycerides, baking powder, soy lecithin, natural flavours, calcium propionate, potassium sorbate, calcium propionate, sodium bicarbonate, sorbic acid, enzymes) (milk, soy, wheat) • Yellow onion • Sour cream (milk ingredients, modified milk ingredients, modified cornstarch, sodium phosphate, sodium citrate, carrageenan, locust bean gum, guar gum, microbial enzyme, bacterial culture) (milk) • Chipotle sauce (water, canola and/or soybean oil, sugars (sugar, fancy molasses), tomato paste, vinegar, salt, dehydrated garlic, chili powder, sour cream powder [modified milk ingredients, bacterial culture, lactic acid, citric acid, tocopherols, ascorbyl palmitate], modified corn starch, frozen egg yolk, lactic acid, buttermilk powder, onion powder, mustard flour, ancho chili pepper, smoked paprika, concentrated lemon juice, paprika oleoresin, polysorbate 60, caramel, potassium sorbate, sodium benzoate, soy lecithin, xanthan gum, calcium disodium EDTA, spices, spice extract) (milk, soy, egg, mustard) • Cheddar cheese (pasteurized milk, modified milk ingredients, cream, bacterial culture, salt, annatto, beta-carotene, calcium chloride, microbial enzyme, cellulose, natamycin) (milk) • Spinach • Enchilada spice blend (spices, sugar (sugar, maltodextrin), salt, garlic powder, tomato powder, paprika powder, citric acid, canola oil, oleoresin paprika, silicon dioxide) (sulphites) • Cilantro."
hellofresh,SuperQuick Chorizo Tacos,"Calories 780kcal, Fat 40g, Saturated Fat 14g, Carbohydrate 73g, Sugar 18g, Dietary Fiber 7g, Protein 35g, Cholesterol 105mg, Sodium 2180mg, Trans Fat 0.2g, Potassium 1250mg, Calcium 300mg, Iron 6mg",,"SuperQuick, New",,"Chorizo Sausage uncased 250 g, Flour Tortillas (Contains Wheat SulphitesMay contain Tree nuts Egg Milk Sesame Soy) 6 unit(s), Tomato Salsa (May contain Tree nuts Egg Milk Sesame Soy Mustard Wheat Crustaceans Sulphites Fish Gluten) ½ cup, Lime 1 unit(s), Sour Cream (Contains Milk) 1 unit(s), Sweet Bell Pepper 1 unit(s), Yellow Onion chopped 113 g, Red Cabbage shredded 56 g, Feta Cheese crumbled (Contains Milk) ¼ cup, Tex-Mex Paste (Contains MustardMay contain Egg Milk Sesame Soy Wheat Crustaceans Sulphites Fish Gluten) 1 tbsp","These speedy chorizo tacos are a great way to get supper on the table in no time flat. Start the chorizo and pre-chopped onions on the stove and assemble the rest of the components as they cook. Ingredients: Chorizo sausage (pork, water, sugars (dextrose), spices, salt, paprika, potassium chloride, potassium phosphate, flavour, dehydrated onion, dehydrated garlic, sodium erythorbate, sodium diacetate, paprika extractives, spice extractives, bakon Hfbn) • Flour tortillas (wheat flour, water, canola oil, salt, sugar, soybean oil, mono- and diglycerides, sodium acid pyrophosphate, calcium propionate, potassium sorbate, sodium bicarbonate, potassium bicarbonate, sodium aluminum phosphate, calcium lactate, sodium aluminum sulfate, enriched wheat flour, cornstarch, fumaric acid, potassium chloride, seasoning (autolyzed yeast, ammonium chloride), guar gum, monocalcium phosphate, l-cysteine hydrochloride, amylase, enzymes, sodium metabisulphite) (wheat, sulphites) • Sweet bell pepper • Tomato salsa (water, tomatoes (tomatoes, tomato juice, citric acid, calcium chloride), tomato paste, green bell peppers, onions, jalapeno peppers, vinegar, sugar, salt, garlic, soybean oil, dried garlic, dried onion, canola oil, spices, paprika oleoresin, xanthan gum, citric acid, potassium sorbate, sodium benzoate) • Yellow onion • Limes • Red cabbage • Sour cream (milk ingredients, modified milk ingredients, modified cornstarch, sodium phosphate, sodium citrate, carrageenan, locust bean gum, guar gum, microbial enzyme, bacterial culture) (milk) • Feta cheese (pasteurized milk, partly skimmed milk, water, salt, lipase, bacterial culture, microbial enzyme, cellulose, natamycin, calcium chloride) (milk) • Tex mex paste (tomato paste, tomato blend (tomatoes, tomato juice, citric acid, calcium chloride), salt, water, vegetable oil, sugars (sugar, maltodextrin), chipotle peppers, onions, chili peppers, vinegar, smoked paprika, paprika oleoresin, modified corn starch, garlic powder, mustard, cocoa powder, rice vinegar, onion powder, seasoning, spices, herbs, natural flavour, xanthan gum, acetic acid) (mustard)."
hellofresh,Bacon-Wrapped Organic Chicken Breasts and Mushroom Gravy,"Calories 1070kcal, Calories 1070kcal, Calories 1070kcal, Fat 64g, Fat 64g, Fat 64g, Saturated Fat 26g, Saturated Fat 26g, Saturated Fat 26g, Carbohydrate 68g, Carbohydrate 68g, Carbohydrate 68g, Sugar 9g, Sugar 9g, Sugar 9g, Dietary Fiber 9g, Dietary Fiber 9g, Dietary Fiber 9g, Protein 59g, Protein 59g, Protein 59g, Cholesterol 240mg, Cholesterol 240mg, Cholesterol 240mg, Sodium 1110mg, Sodium 1110mg, Sodium 1110mg, Trans Fat 0.5g, Trans Fat 0.5g, Trans Fat 0.5g, Potassium 2400mg, Potassium 2400mg, Potassium 2400mg, Calcium 150mg, Calcium 150mg, Calcium 150mg, Iron 5.5mg, Iron 5.5mg, Iron 5.5mg",,,,"Organic Chicken Breast 2 unit(s), Bacon Strips 100 g, Russet Potato 2 unit(s), Brussels Sprouts 227 g, Mushrooms 113 g, Shallot 1 unit(s), Chives 7 g, Goat Cheese (Contains Milk) ¼ cup, Cream (Contains Milk) 113 mL, Garlic Spread (May contain Milk Soy Sulphites) 2 tbsp, Chicken Broth Concentrate 1 unit(s), All-Purpose Flour (Contains WheatMay contain Milk Soy Sulphites Crustaceans Egg Fish Gluten Mustard Tree nuts Peanuts Sesame) 1 tbsp","Things are about to get saucy! For tonight's dinner, rich and creamy mushroom gravy is spooned over smoky, bacon-wrapped organic chicken for a decadent meal infused with the comforts of home. Ingredients: Russet potato • Organic chicken breast • Brussels sprouts • Mushrooms • 35% Cream (cream, milk, dextrose, cellulose gel, carrageenan, mono and diglycerides, cellulose gum, polysorbate 80, sodium citrate, disodium phosphate) (milk) • Bacon (pork, water, salt, sugar, sodium phosphates, sodium erythorbate, sodium nitrite, spices, smoke) • Shallot • Garlic spread (margarine (soybean oil, water, modified palm and palm kernel oils, salt, vegetable monoglycerides, soy lecithin, potassium sorbate, natural flavour, citric acid, annatto and turmeric, vitamin A palmitate, vitamin D2), garlic, onion powder, water, salt, vegetable mono and diglycerides, maltodextrin, citric acid, parsley, natural flavour, xanthan gum, potassium sorbate, natural colour, vitamin E) (soy) • Goat cheese (pasteurized goat's milk, cellulose powder, sea salt, potassium sorbate, bacterial culture, microbial enzyme) (milk) • Chicken broth concentrate (sugars (maltodextrin, sugar), chicken stock, chicken fat, chicken flavor (chicken broth, salt, flavoring, water, glutamic acid, chicken fat, chicken powder, xanthan gum, organic sunflower oil), salt, yeast extract, xanthan gum, natural flavor) • All-purpose flour (wheat) • Chives."
hellofresh,BBQ Organic Chicken Breasts Pizzas with Ranch Drizzle,"Calories 1070kcal, Calories 1070kcal, Calories 1070kcal, Fat 36g, Fat 36g, Fat 36g, Saturated Fat 10g, Saturated Fat 10g, Saturated Fat 10g, Carbohydrate 119g, Carbohydrate 119g, Carbohydrate 119g, Sugar 25g, Sugar 25g, Sugar 25g, Dietary Fiber 6g, Dietary Fiber 6g, Dietary Fiber 6g, Protein 70g, Protein 70g, Protein 70g, Cholesterol 165mg, Cholesterol 165mg, Cholesterol 165mg, Sodium 2270mg, Sodium 2270mg, Sodium 2270mg, Trans Fat 1g, Trans Fat 1g, Trans Fat 1g, Potassium 1250mg, Potassium 1250mg, Potassium 1250mg, Calcium 500mg, Calcium 500mg, Calcium 500mg, Iron 7.5mg, Iron 7.5mg, Iron 7.5mg",,,,"Organic Chicken Breast 2 unit(s), BBQ Sauce (Contains MustardMay contain Gluten Sulphites Egg Wheat Sesame Crustaceans Soy Fish Milk) 4 tbsp, Red Onion ½ unit(s), Mozzarella Cheese shredded (Contains Milk) ¾ cup, Spring Mix 56 g, Yogurt Sauce (Contains Milk) 3 tbsp, Baby Tomatoes 113 g, Pizza Dough (Contains WheatMay contain Sulphites Egg Sesame Soy Milk Mustard Barley) 340 g, BBQ Seasoning (Contains SulphitesMay contain Wheat Sesame Soy Milk Mustard Tree nuts Peanuts) 1 tbsp, Radish 3 unit(s), Croutons (Contains Milk WheatMay contain Sulphites Egg Sesame Crustaceans Soy Fish Mustard Tree nuts Peanuts) 28 g, Chives 7 g, Ranch Dressing (Contains Milk EggMay contain Sulphites Wheat Sesame Soy Fish Mustard Tree nuts) 2 tbsp","Our fresh pizza dough is super easy to work with, and when it comes to toppings, sweet and smoky BBQ sauce makes the perfect base for spiced chicken and red onions. This pizza is sure to be a hit with the whole family. Ingredients: Pizza dough (enriched wheat flour (wheat flour, niacin, reduced iron, ascorbic acid, thiamine mononitrate, riboflavin, amylase, folic acid), water, semolina, canola oil, sugar, yeast, salt, calcium propionate, sodium stearoyl-2- lactylate, calcium sulphate) (wheat) • Organic chicken breast • Red onion • Baby tomatoes • Mozzarella cheese (pasteurized milk, modified milk ingredients, water, cream, salt, fructose, calcium chloride, bacterial culture, microbial enzyme, microbial rennet, citric acid, sodium phosphate, sodium citrate, potassium sorbate, cellulose, natamycin) (milk) • Radish • BBQ sauce (sugars (sugar/glucose-fructose, blackstrap molasses, brown sugar), tomato paste, vinegar, water, salt, modified corn starch, mustard, modified tapioca starch, mustard bran, chili peppers, soybean oil, garlic powder, onion powder, hydrolyzed corn protein, spices, seasoning, natural flavour, xanthan gum, caramel, citric acid, malic acid, sodium benzoate) (mustard) • Spring mix (lolla rosa multi-leaf lettuce, red flash red oak lettuce, red leaf multi-leaf lettuce, green oak lettuce, bally hoo tango lettuce) • Yogurt sauce (cream, pasteurized milk, milk protein concentrate, yogurt (partly skimmed milk, skim milk powder, bacterial culture), sour cream (milk ingredients, modified corn starch, guar gum, carrageenan, locust bean gum, sodium citrate, bacterial culture), cucumber, garlic, lemon, vinegar, modified cornstarch, water, canola oil, salt, white pepper, herbs, potassium sorbate) (milk) • Ranch dressing (canola and/or soya oil, buttermilk (partly skimmed milk, salt, bacterial culture), white vinegar, water, sugar, salt, frozen egg yolk, spices, polysorbate 60, xanthan gum, natural flavour, monosodium glutamate, lactic acid, sodium benzoate, calcium lactate, calcium disodium EDTA) (egg, milk) • Croutons (wheat flour, vegetable oil, sugars (sugar, lactose), rice flour, salt, yeast, garlic powder, herbs, yeast extract, natural flavor (contains milk), silica, tricalcium phosphate) (milk, wheat) • BBQ seasoning (sugar (sugar, maltodextrin, brown sugar, molasses powder), salt, tomato powder, paprika powder, spices, garlic powder, onion powder, worcestershire sauce powder (maltodextrin, worcestershire sauce (distilled vinegar, molasses, corn syrup, salt, caramel color, garlic powder, sugar, spices(celery seed), tamarind, natural flavor, sulphite), silicon dioxide), canola oil, citric acid, herbs, sodium diacetate, silicon dioxide (anti-caking agent), natural flavor) (sulphites) • Chives."
hellofresh,Ready-to-Heat: Roasted Garlic Chicken,"Calories 430kcal, Fat 16g, Saturated Fat 5g, Carbohydrate 29g, Sugar 6g, Dietary Fiber 6g, Protein 44g, Cholesterol 120mg, Sodium 670mg, Trans Fat 0.2g, Potassium 1050mg, Calcium 125mg, Iron 4mg",,Quick,,Roasted Garlic Chicken (Contains Milk) 2 unit(s),"Meal is pre-cooked and ships ready-to-heat in your oven or microwave. Rich and creamy chicken is exactly what you want to eat right now. We start by marinating the chicken in lemon, parley, garlic and herbs so it’s tender and so juicy. This sits over beautiful and delicious broccoli rice (hello, new favourite side dish!). Finally we pour our roasted garlic cream sauce over top and add a side of roasted green beans. Now it’s your turn, so dig in and sigh with delight! Ingredients: Green beans • Chicken breast • Yukon potatoes • Cauliflower • 2% milk • Water • Roasted garlic (garlic, olive oil) • Olive oil • Sour cream (milk ingredients, bacterial culture, microbial enzyme) • Butter (milk) • Chicken glace (chicken broth, carrot, onion, garlic, spices) • Sea salt • Garlic powder • Black pepper • Onion powder • Dried chives • Parsley • Garlic • Thyme • Xanthan gum."
hellofresh,Ready-to-Heat: Mushroom-Topped Chicken Thighs,"Calories 580kcal, Fat 29g, Saturated Fat 9g, Carbohydrate 36g, Sugar 7g, Dietary Fiber 4g, Protein 36g, Cholesterol 160mg, Sodium 790mg, Trans Fat 0.4g, Potassium 900mg, Calcium 150mg, Iron 3.5mg",,Quick,,Mushroom-Topped Chicken Thighs (Contains Milk) 2 unit(s),"Meal is pre-cooked and ships ready-to-heat in your oven or microwave. In tonight’s meal, shredded lemony chicken thighs (with rosemary, thyme, and garlic) are served over a bed of rich and creamy parmesan wild rice. Topped with a medley of roasted mushrooms and scallions and accompanied by simple and savoury garlicky green beans, this flavourful combo is sure to satisfy. Ingredients: Chicken thigh • Green beans • Cremini mushrooms • Water • Wild rice blend (white rice, wild rice) • Spanish onion • Heavy cream (milk) • Olive oil • Light cream cheese (milk ingredients, modified milk ingredients, bacterial culture, salt, guar gum, locust bean gum, lactic acid) • Parmesan cheese (pasteurized milk, modified milk ingredients, salt, bacterial culture, calcium chloride, microbial enzyme, lipase, cellulose, natamycin) • Garlic • Green onions • Minced garlic (water, dehydrated garlic, citric acid) • Chicken glace (chicken broth, carrot, onion, garlic, spices) • Sea salt • Lemon juice • Sage • Black pepper • Onion powder • Garlic powder • Dried chives • Rosemary • Dill • Thyme."
hellofresh,Ready-to-Heat: Broccoli Cheddar Ground Beef,"Calories 490kcal, Fat 35g, Saturated Fat 16g, Carbohydrate 18g, Sugar 7g, Dietary Fiber 4g, Protein 28g, Cholesterol 105mg, Sodium 810mg, Trans Fat 1g, Potassium 800mg, Calcium 350mg, Iron 2.5mg",,Quick,,Broccoli Cheddar Ground Beef (Contains Milk Mustard) 2 unit(s),"Meal is pre-cooked and ships ready-to-heat in your oven or microwave. Savour homestyle comfort food, ready to heat and eat in minutes. Broccoli florets are draped in a luscious cheddar cheese sauce speckled with green chiles. Piled over top is ground beef simmered in a rich tomato sauce with onions, garlic, and spices, and then sprinkled with cheddar cheese. For the vegetable side, there’s zucchini and red bell peppers roasted with garlic, gochugaru (Korean chili flakes), and guajillo peppers for a touch of heat. Ingredients: Broccoli • Zucchini • Red bell pepper • Ground beef • Cheddar cheese (milk, modified milk ingredients, cream, salt, bacterial culture, annatto, calcium chloride, microbial enzyme, cellulose) • Spanish onion • Concentrated tomatoes (vine-ripened fresh tomatoes, salt, naturally derived citric acid) • Cream cheese (milk ingredients, salt, locust bean gum, bacterial culture) • Heavy cream (milk) • 2% Milk • Green chiles (green chiles, salt, citric acid, calcium chloride) • Olive oil • Water • Brown stock (veal broth, carrot, onion, tomato paste, celery, leek, garlic, spices) • Green onions • Sea salt • Parmesan cheese (milk, modified milk ingredients, bacterial culture, salt, lipase, calcium chloride, rennet and/or microbial enzyme, powdered cellulose, parmesan flavour (natural)) • Garlic powder • Onion powder • Garlic powder • Black pepper • Ground mustard • Gochugaru • Ground guajillo pepper • Crushed red pepper flakes."
